0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-1.jpg HTTP/1.1" 200 438244
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-3.jpg HTTP/1.1" 200 350874
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:54:32 -0600] "GET /ProyectoFinal/img/slides/nivo/bg-2.jpg HTTP/1.1" 200 288706
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/about.html HTTP/1.1" 200 20083
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:19 -0600] "GET /ProyectoFinal/bodybg/bg1.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:20 -0600] "GET /ProyectoFinal/css/images/bg_direction_nav.png HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:58:31 -0600] "GET /ProyectoFinal/portfolio-3cols.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/blog-left-sidebar.html HTTP/1.1" 200 22858
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/bodybg/bg1.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/65x65/thumb2.jpg HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/65x65/thumb3.jpg HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/65x65/thumb1.jpg HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/img3.jpg HTTP/1.1" 200 68192
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/img2.jpg HTTP/1.1" 200 46721
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:17 -0600] "GET /ProyectoFinal/img/dummies/blog/img1.jpg HTTP/1.1" 200 27799
0:0:0:0:0:0:0:1 - - [20/Dec/2018:18:59:18 -0600] "GET /ProyectoFinal/css/images/bg_direction_nav.png HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:10 -0600] "GET /ProyectoFinal/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/jcarousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/css/fancybox/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:19:00:11 -0600] "GET /ProyectoFinal/skins/blue.css HTTP/1.1" 304 -
